Y,s1,t1,t2,t3
5.6180436473015405,2.8706436703372384,1.556417588843627,1.556417588843627,1.5561354225505688
5.622374012618646,2.8713366021726077,1.5567734747299968,1.5567734747299968,1.5565053295921414
5.626725898219881,2.8720302786088343,1.5571302570565255,1.5571302570565255,1.556875811128412
5.631098868954464,2.872724704449339,1.557487940601033,1.557487940601033,1.557246868209838
5.635492479012011,2.8734198843817507,1.5578465300228919,1.5578465300228919,1.5576185018529518
5.63990627213507,2.874115822975166,1.5582060298605258,1.5582060298605258,1.5579907130398127
5.64433978183954,2.874812524677927,1.5585664445289986,1.5585664445289986,1.5583635027175016
5.648792531640837,2.8755099938155015,1.5589277783176345,1.5589277783176345,1.5587368717976335
5.653264035283094,2.876208234587652,1.5592900353877182,1.5592900353877182,1.5591108211558609
5.657753796978666,2.8769072510664477,1.5596532197702477,1.5596532197702477,1.5594853516314133
5.662261311649758,2.877607047194134,1.56001733536375,1.56001733536375,1.5598604640266327
5.666786065178014,2.8783076267809347,1.5603823859321668,1.5603823859321668,1.5602361591065317
5.6713275346570144,2.8790089935024947,1.5607483751028017,1.5607483751028017,1.5606124375983725
5.675885188653085,2.879711150898828,1.5611153063643333,1.5611153063643333,1.5609893001912387
5.680458487469379,2.880414102371616,1.561483183064904,1.561483183064904,1.5613667475356445
5.685046883414545,2.881117851182633,1.5618520084102656,1.5618520084102656,1.5617447802431534
5.689649821077246,2.88182240045176,1.5622217854620142,1.5622217854620142,1.562123398886001
5.694266737604506,2.8825277531555895,1.562592517135867,1.562592517135867,1.5625026039967447
5.6988970629855835,2.8832339121253057,1.5629642062000464,1.5629642062000464,1.5628823960679166
5.703540220339754,2.883940880045806,1.5633368552737161,1.5633368552737161,1.5632627755517206
5.708195626205635,2.8846486594531697,1.563710466825486,1.563710466825486,1.5636437428597056
5.712862690840421,2.8853572527343547,1.564085043172018,1.564085043172018,1.564025298362479
5.7175408185158885,2.886066662125225,1.5644605864766803,1.5644605864766803,1.5644074423894447
5.722229407822697,2.886776889709277,1.5648370987482942,1.5648370987482942,1.5647901752285274
5.726927851975895,2.8874879374164246,1.5652145818399563,1.5652145818399563,1.5651734971259446
5.731635539125788,2.8881998070221373,1.565593037447935,1.565593037447935,1.5655574082859767
5.736351852669614,2.888912500146439,1.5659724671106496,1.5659724671106496,1.5659419088707547
5.741076171566477,2.889626018252694,1.5663528722077233,1.5663528722077233,1.5663269990000808
5.745807870654963,2.8903403626463455,1.566734253959126,1.566734253959126,1.5667126787512444
5.750546320976081,2.891055534475466,1.5671166134243877,1.5671166134243877,1.5670989481588686
